Table Names,State,Parameters,Type,April - Total ((A+B) or (C+D)),May - Total ((A+B) or (C+D)),June - Total ((A+B) or (C+D)),July - Total ((A+B) or (C+D)),August - Total ((A+B) or (C+D)),September - Total ((A+B) or (C+D)),October - Total ((A+B) or (C+D)),November - Total ((A+B) or (C+D)),December - Total ((A+B) or (C+D)),January - Total ((A+B) or (C+D)),February - Total ((A+B) or (C+D)),March - Total ((A+B) or (C+D)),Total - Total ((A+B) or (C+D)),Total - Public (A),Total - Private (B),Total - Urban (C),Total - Rural (D)
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,336,173,377,360,388,252,333,392,308,354,300,355,3928,3928,NA,706,3222
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Child immunisation (9-11months) - Measles 1st dose,TOTAL,159,89,19,29,9,40,57,6,45,22,17,15,507,507,NA,41,466
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,2372,30,86,111,40,55,14,44,51,75,24,17,2919,2919,NA,161,2758
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Child immunisation - Measles-1st dose,TOTAL,19,7,21,4,0,9,1,1,9,3,1,5,80,80,NA,14,66
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,445,227,337,344,285,233,348,329,380,379,284,363,3954,3954,NA,736,3218
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,81,132,86,37,20,26,31,15,42,30,12,43,555,555,NA,62,493
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,7,3,8,0,2,5,32,22,3,14,34,0,130,130,NA,42,88
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Childhood Diseases - Pneumonia,TOTAL,1,1,1,0,0,0,0,0,0,11,12,0,26,26,NA,0,26
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Childhood Diseases - Asthma,TOTAL,2,16,0,0,1,1,20,1,25,0,0,4,70,70,NA,0,70
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Childhood Diseases - Measles,TOTAL,0,0,1,0,0,0,0,0,0,0,1,0,2,2,NA,0,2
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Childhood Diseases - Diarrhoea,TOTAL,145,183,126,148,58,59,66,132,134,149,93,135,1428,1428,NA,131,1297
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,19,16,18,31,70,6,17,17,39,23,26,9,291,291,NA,0,291
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,123,96,76,290,101,148,181,179,166,172,138,128,1798,1798,NA,0,1798
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NA,0,1
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,1
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Vaccine - Measles,1. Balance From Previous Month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Vaccine - Measles,2. Stocks Received,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Vaccine - Measles,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Vaccine - Measles,4. Stock Distributed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Vaccine - Measles,5. Total Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Measles Rubella (MR),1. Balance From Previous Month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
